WBSID,Nhóm,Thể Loại,Chiểu Sâu,Phiên Bản,Outline,Sort Helper,Title (WBS),STT,Level 1,Level 2,Level 3,"STT
Hoa Nghiêm","STT
Thủ Nhãn","STT
Tứ Liên Hoa","STT
Ngũ Tự","STT
Lục Tý","STT
10 Pháp Bảo","STT
Bảo Loa","STT
6-2-6-2","STT
Advanced","STT
GALAMI1","STT
GALAMI2","STT-GALAMI
","STT
LHBDT",A.3/3/3,A.4/3/3,A.5/3/3,A.5/5/5,A.Thường Trụ Bất Biến,A.Lục Tý,A.Ending,A.LHBDT,A.6/2/6/2,Nhó,C1 Tên CTT,C5 Thủ Nhãn-Tên,C2 Tên Dài CTT,C3 Giảng Giải CTT,C4 Siddham Code,C4 Siddham Unicode,C4 CTT-Image,C5 Dharma Object Name,C6 Pháp Bảo-Image,A1 Sự,A2 Lý,A3 Khai Dẫn,A4 Hành,A4 Hành A,A4 Hành B,A5 Trung Dẫn,A6 Chú Khởi Động,A8 Lời Khẳng Định,A9 Kết Dẫn,B1 Ritual,B2 Meaning,B3 Opening Instruction,B4 Action A,B4 Action B,B6 Activator,B7 Closing Íntruction,B8 Confirmation Statement,C4 CTT Link,C4 CTT-URL,C6 Pháp Bảo Link,C6 Pháp Bảo-URL,D1 Audio Link,D2 Video Bài Giảng,D3 Bài Giảng
42.3,42,3,0,0,2,42.03.00.00,        42.3 - Biến PA thành Đại Địa Vô Tận,B108,B,A,1,,,,,,E06,,,E05,E06,,E06,,,,,,,,,,,03,PA,Bảo Bát ,Phổ Chiếu Pháp Giới,"nghĩa là chiếu khắp vũ trụ (gồm có vũ trụ của chư Phật Bồ Tát, chư thánh hiền gọi là Pháp giới bất nhị và vũ trụ tương đối của phàm phu còn trong vọng thức).",𑖢 - siddham letter pa (u+115A2) copy and paste - Unicode® symbol,𑖢,,Jewel Bowl,,Biến PA thành Đại Địa Vô Tận,,"Mình cầm cái bát, ngón giữa tay phải chạm vào mặt đất và hình dung PA biến thành đại địa, mặt đất vô tận, giữ gìn không biết bao nhiêu hạt giống bồ đề.  ",,"Hu Lu, Hu Lu Si Li  <br>
Ọm, Chư Li Chư Li, <br>
Qua Zư La, <br>
Hum Pan Cha (5x)","Hu Lu, Hu Lu Syi Li, <br>
Om Jr Li Jr Li, <br>
Wa Jr La, <br>
Hum Pan Ja (5x)","Tiếp trì trong tâm và quán 2 mins. <br>
Đưa (bát lên trên ngang trán), rồi để xuống.",,,,,,Jewel Bowl on the Left palm,,,,"You hold for a few seconds, see the bowl becoming the earth, nurtures all bodhi seeds.",I am the wisdom of nurturance; I nurture the Bodhi mind of all living beings.,https://drive.google.com/file/d/1jcq79ChYcijkiX5WYGBUQf5_Vsjm2heR/view?usp=drive_link,https://drive.google.com/uc?export=download&id=1jcq79ChYcijkiX5WYGBUQf5_Vsjm2heR,https://drive.google.com/file/d/1fSOrTHmKd8fB3PqOI8q6Fh-mLi2n7f9B/view?usp=drive_link,https://drive.google.com/uc?export=download&id=1fSOrTHmKd8fB3PqOI8q6Fh-mLi2n7f9B,,,
42.3.4,42,3,4,0,3,42.03.04.00,            42.3.4 - Tu Liên Hoa Bồ Đề Tâm,A043,L,A,3,,,,,,,,,X03,,,,,,,,,X02,,,,B2,03,PA,Bảo Bát ,Phổ Chiếu Pháp Giới,"nghĩa là chiếu khắp vũ trụ (gồm có vũ trụ của chư Phật Bồ Tát, chư thánh hiền gọi là Pháp giới bất nhị và vũ trụ tương đối của phàm phu còn trong vọng thức).",𑖢 - siddham letter pa (u+115A2) copy and paste - Unicode® symbol,𑖢,,Jewel Bowl,,Tu Liên Hoa Bồ Đề Tâm,,Quán tưởng CTT PA 𑖢 ở đan điền,,"Hu Lu, Hu Lu Si Li<br>
Ọm, Chư Li Chư Li, <br>
Qua Zư La, <br>
Hum Pan Cha","Hu Lu, Hu Lu Syi Li,
Om Jr Li Jr Li,
Wa Jr La,
Hum Pan Ja",,,,,,,,,,,,,https://drive.google.com/file/d/1jcq79ChYcijkiX5WYGBUQf5_Vsjm2heR/view?usp=drive_link,https://drive.google.com/uc?export=download&id=1jcq79ChYcijkiX5WYGBUQf5_Vsjm2heR,https://drive.google.com/file/d/1fSOrTHmKd8fB3PqOI8q6Fh-mLi2n7f9B/view?usp=drive_link,https://drive.google.com/uc?export=download&id=1fSOrTHmKd8fB3PqOI8q6Fh-mLi2n7f9B,,,
42.4,42,4,0,0,2,42.04.00.00,        42.4 - Tu Nguyện Thành Tựu,B109,A,A,1,E04,E04,,E04,,E07,,,E06,E07,E01,E07,,,,,,,,,,,04,CA,Bảo Kiếm,Phổ Luân Đoạn Sai Biệt,nghĩa là những phạm trù (trí huệ Bát Nhã) đoạn dứt mọi phân biệt.,𑖓 - siddham letter ca (u+11593) copy and paste - Unicode® symbol,𑖓,,Jewel Sword,,Tu Nguyện Thành Tựu,,Bảo Kiếm trên bàn tay Phải,,"Đi Li, Shai Ni Nô (5x) <br>
Om, Đi Shư Đi Rơ, <br>
Đu Quay Ning Đu Ti, <br>
Shô Tô Dê, <br>
Hum Pan Cha (5x)","Di Li Shai Ni No (5x) <br>
Om, Di Shr Di Re, <br>
Du Wei Ning Du Ti, <br>
So To Ye, <br>
Hum Pan Ja (5x)",Bảo Kiếm giữa 2 bàn tay.,"Om, Suksma Vajra (3x)",Tôi là trí huệ không ngừng vượt thoát.,Hình dung cái chủng tử tự Sa ngay cái tâm Oa đó đã phóng ra sáu cái đường laser. ,,,Jewel Sword on the Right palm,,,"Om, Suksma Vajra (3x)","And you hold for few seconds, visualize the 6 laser beams.","I am the wisdom of ever transcendence, ever-penetrating all ignorances",https://drive.google.com/file/d/1sugIvargavsRkytwhE4wbLnwQXswSRr5/view?usp=drive_link,https://drive.google.com/uc?export=download&id=1sugIvargavsRkytwhE4wbLnwQXswSRr5,https://drive.google.com/file/d/1x1uESrjIrs9-JcU3uTEbbwXZ5TGxI9Tr/view?usp=drive_link,https://drive.google.com/uc?export=download&id=1x1uESrjIrs9-JcU3uTEbbwXZ5TGxI9Tr,,,
42.4,42,4,0,0,2,42.04.00.00,        42.4 - Chuyển hóa Pháp Bảo thành Tâm Bảo,B110,A,B,1,,,,,,,,,,,,,,,,,,,,,,,04,CA,Bảo Kiếm,Phổ Luân Đoạn Sai Biệt,nghĩa là những phạm trù (trí huệ Bát Nhã) đoạn dứt mọi phân biệt.,𑖓 - siddham letter ca (u+11593) copy and paste - Unicode® symbol,𑖓,,Jewel Sword,,Chuyển hóa Pháp Bảo thành Tâm Bảo,Tu Pháp Bảo thành Thần Bảo (Tác Dụng),Bảo Kiếm trên bàn tay Phải,,"Đi Li, Shai Ni Nô (5x) <br>
Om, Đi Shư Đi Rơ, <br>
Đu Quay Ning Đu Ti, <br>
Shô Tô Dê, <br>
Hum Pan Cha (5x)","Di Li Shai Ni No (5x) <br>
Om, Di Shr Di Re, <br>
Du Wei Ning Du Ti, <br>
So To Ye, <br>
Hum Pan Ja (5x)",Bảo Kiếm giữa 2 bàn tay,"Ọm, Tistha Vajra (3x)","Xin mỗi lần tu là mỗi lần con thêm được sự tinh tấn, thêm được sự chuyên chú, thêm được định lực; và thêm khả năng để nhìn xuyên qua bóng tối
Cứu cánh là sự tập trung của mình, sự chuyên chú sẽ đến chỗ nhất tâm bất loạn.
-TÔI LÀ TRÍ BÁT NHÃ XUYÊN THẤU TẤT CẢ VÔ MINH VỌNG TƯỞNG VÀ XUYÊN QUA ĐƯỢC CẢ BONG BÓNG BẢN NGÃ
-XIN CON TRỞ THÀNH PHƯƠNG TIỆN ĐỂ TRUYỀN ĐẠT KHO TÀNG CỦA CHƯ PHẬT XUỐNG CHÚNG SINH
""",,,,Jewel Sword on the Right palm,,,"Om, Tistha Vajra (3x)",,,https://drive.google.com/file/d/1sugIvargavsRkytwhE4wbLnwQXswSRr5/view?usp=drive_link,https://drive.google.com/uc?export=download&id=1sugIvargavsRkytwhE4wbLnwQXswSRr5,https://drive.google.com/file/d/1x1uESrjIrs9-JcU3uTEbbwXZ5TGxI9Tr/view?usp=drive_link,https://drive.google.com/uc?export=download&id=1x1uESrjIrs9-JcU3uTEbbwXZ5TGxI9Tr,,,
42.4,42,4,0,0,2,42.04.00.00,        42.4 - Tu Nguyện Thành Tựu?,B111,B,A,1,,,,,,E08,,,E07,E08,,E08,,,,,,,,,,,04,CA,Bảo Kiếm,Phổ Luân Đoạn Sai Biệt,nghĩa là những phạm trù (trí huệ Bát Nhã) đoạn dứt mọi phân biệt.,𑖓 - siddham letter ca (u+11593) copy and paste - Unicode® symbol,𑖓,,Jewel Sword,,Tu Nguyện Thành Tựu?,,"Hình dung chủng tử CA ở tâm oa và phóng ra 6 đường laser, thẳng lên vô tận, xuống vô tận.",,"Đi Li, Shai Ni Nô <br>
Om, Đi Shư Đi Rơ, <br>
Đu Quay Ning Đu Ti, <br>
Shô Tô Dê, <br>
Hum Pan Cha (5x)","Di Li Shai Ni No <br>
Om, Di Shr Di Re, <br>
Du Wei Ning Du Ti, <br>
So To Ye, <br>
Hum Pan Ja (5x)","Tiếp trì trong tâm và quán 2 mins. <br>
Đưa Bảo Kiếm lên trên ngang trán, rồi để xuống.",,,,,,Jewel Sword on the Right palm,,,,,,https://drive.google.com/file/d/1sugIvargavsRkytwhE4wbLnwQXswSRr5/view?usp=drive_link,https://drive.google.com/uc?export=download&id=1sugIvargavsRkytwhE4wbLnwQXswSRr5,https://drive.google.com/file/d/1x1uESrjIrs9-JcU3uTEbbwXZ5TGxI9Tr/view?usp=drive_link,https://drive.google.com/uc?export=download&id=1x1uESrjIrs9-JcU3uTEbbwXZ5TGxI9Tr,,,
42.4,42,4,0,0,2,42.04.00.00,        42.4 - Kiến tạo Từ Trường,B113,B,A,1,,,,,,,,,E12,E13,,E13,,,,,,,,,,,05,NA,Bạt Chiết La,Đắc Vô Y Vô Thượng,"nghĩa là chứng ngộ (Chân Tâm) tối cao, không còn nương tựa vào đâu nữa.",𑖡 - siddham letter na (u+115A1) copy and paste - Unicode® symbol,𑖓,,Jewel Sword,,Kiến tạo Từ Trường,,"Hình dung chủng tử tự NA 𑖡 ở tâm luân, <br>
NA 𑖡 trở thành CA 𑖓 để thành laser beam.",,,,,,,,,,,,,,,,https://drive.google.com/file/d/1sugIvargavsRkytwhE4wbLnwQXswSRr5/view?usp=drive_link,https://drive.google.com/uc?export=download&id=1sugIvargavsRkytwhE4wbLnwQXswSRr5,https://drive.google.com/file/d/1x1uESrjIrs9-JcU3uTEbbwXZ5TGxI9Tr/view?usp=drive_link,https://drive.google.com/uc?export=download&id=1x1uESrjIrs9-JcU3uTEbbwXZ5TGxI9Tr,,,
42.4.4,42,4,4,0,3,42.04.04.00,            42.4.4 - Tu Liên Hoa Bồ Đề Tâm,A048,L,A,8,,,,,,,,,X08,,,,X08,X08,X08,X08,X08,X05,,,X08,E2,04,CA,Bảo Kiếm,Phổ Luân Đoạn Sai Biệt,nghĩa là những phạm trù (trí huệ Bát Nhã) đoạn dứt mọi phân biệt.,𑖓 - siddham letter ca (u+11593) copy and paste - Unicode® symbol,𑖓,,Jewel Sword,,Tu Liên Hoa Bồ Đề Tâm,"(0.0,0.0,0.0)(0.0, 0.0, 0.0)(0.0,0.0,0.0)",Quán tưởng CTT CA 𑖓 ngay ở tâm luân.,Core Center,"Đi Li, Shai Ni Nô<br>
Om, Đi Shư Đi Rơ, <br>
Đu Quay Ning Đu Ti, <br>
Shô Tô Dê, <br>
Hum Pan Cha","Di Li Shai Ni No
Om, Di Shr Di Re,
Du Wei Ning Du Ti,
So To Ye,
Hum Pan Ja",Solar Plexus Chakra,,,,,,,,,,,,https://drive.google.com/file/d/1sugIvargavsRkytwhE4wbLnwQXswSRr5/view?usp=drive_link,https://drive.google.com/uc?export=download&id=1sugIvargavsRkytwhE4wbLnwQXswSRr5,https://drive.google.com/file/d/1x1uESrjIrs9-JcU3uTEbbwXZ5TGxI9Tr/view?usp=drive_link,https://drive.google.com/uc?export=download&id=1x1uESrjIrs9-JcU3uTEbbwXZ5TGxI9Tr,,,
42.4.4,42,4,4,0,3,42.04.04.00,            42.4.4 - Tu Liên Hoa Bồ Đề Tâm,A053,L,A,13,,,,,,,,,X13,,,,X13,X13,X13,X13,X13,,,,X13,E5,04,CA,Bảo Kiếm,Phổ Luân Đoạn Sai Biệt,nghĩa là những phạm trù (trí huệ Bát Nhã) đoạn dứt mọi phân biệt.,𑖓 - siddham letter ca (u+11593) copy and paste - Unicode® symbol,𑖓,,Jewel Sword,,Tu Liên Hoa Bồ Đề Tâm,"(0.0,0.0,0.0)(0.0, 0.0, 0.0)(0.0,0.0,0.0)",Quán tưởng CTT CA 𑖓 ngay ở tâm luân.,Core Center,"Đi Li, Shai Ni Nô<br>
Om, Đi Shư Đi Rơ, <br>
Đu Quay Ning Đu Ti, <br>
Shô Tô Dê, <br>
Hum Pan Cha","Di Li Shai Ni No
Om, Di Shr Di Re,
Du Wei Ning Du Ti,
So To Ye,
Hum Pan Ja",,,,,,,,,,,,,https://drive.google.com/file/d/1sugIvargavsRkytwhE4wbLnwQXswSRr5/view?usp=drive_link,https://drive.google.com/uc?export=download&id=1sugIvargavsRkytwhE4wbLnwQXswSRr5,https://drive.google.com/file/d/1x1uESrjIrs9-JcU3uTEbbwXZ5TGxI9Tr/view?usp=drive_link,https://drive.google.com/uc?export=download&id=1x1uESrjIrs9-JcU3uTEbbwXZ5TGxI9Tr,,,
42.4.4,42,4,4,0,3,42.04.04.00,            42.4.4 - Tu Liên Hoa Bồ Đề Tâm,A058,L,A,18,,,,,,,,,X18,,,,X18,X18,X18,X18,X18,,,,X18,E8,04,CA,Bảo Kiếm,Phổ Luân Đoạn Sai Biệt,nghĩa là những phạm trù (trí huệ Bát Nhã) đoạn dứt mọi phân biệt.,𑖓 - siddham letter ca (u+11593) copy and paste - Unicode® symbol,𑖓,,Jewel Sword,,Tu Liên Hoa Bồ Đề Tâm,"(0.0,0.0,0.0)(0.0, 0.0, 0.0)(0.0,0.0,0.0)",Quán tưởng CTT CA 𑖓 ngay ở tâm luân.,Core Center,"Đi Li, Shai Ni Nô<br>
Om, Đi Shư Đi Rơ, <br>
Đu Quay Ning Đu Ti, <br>
Shô Tô Dê, <br>
Hum Pan Cha","Di Li Shai Ni No
Om, Di Shr Di Re,
Du Wei Ning Du Ti,
So To Ye,
Hum Pan Ja",,,,,,,,,,,,,https://drive.google.com/file/d/1sugIvargavsRkytwhE4wbLnwQXswSRr5/view?usp=drive_link,https://drive.google.com/uc?export=download&id=1sugIvargavsRkytwhE4wbLnwQXswSRr5,https://drive.google.com/file/d/1x1uESrjIrs9-JcU3uTEbbwXZ5TGxI9Tr/view?usp=drive_link,https://drive.google.com/uc?export=download&id=1x1uESrjIrs9-JcU3uTEbbwXZ5TGxI9Tr,,,
42.5,42,5,0,0,2,42.05.00.00,        42.5 - Tu Nguyện Thành Tựu,B112,A,A,1,E05,E05,,E05,,,,,E15,E16,,E16,,,,,,,,,,,05,NA,Bạt Chiết La,Đắc Vô Y Vô Thượng,"nghĩa là chứng ngộ (Chân Tâm) tối cao, không còn nương tựa vào đâu nữa.",𑖡 - siddham letter na (u+115A1) copy and paste - Unicode® symbol,𑖡,,Vajra,,Tu Nguyện Thành Tựu,,"Cầm Bạt Chiết La thẳng đứng bằng bàn tay Trái.<br>
Tay Phải nấm Kim Cang Quyền.",,"Chê Chi La, Ơ Si Tô Dê (5x) <br>
Om, Ni Bi Ni Bi, <br>
Ni Ba Dê, <br>
Mô Hô Shư Li Dê, <br>
Sô Pô Hô (5x)","Je Ji La E Syi To Ye (5x)<br>
Om, Ni Bi Ni Bi,<br>
Ni Ba Ye,<br>
Mo He Shr Li Ye,<br>
So Po He (5x)",Dùng 2 tay đưa Pháp Bảo qua đầu.,"Om, Suksma Vajra (3x)","Tôi là Chân Như Bình Đẳng Tạng. <br>
Nguyện thành tựu từ trường Chân Như để chuyển hóa tất cả từ trường nghiệp lực.","Quán tưởng từ trường xoay chuyển từ xung quanh, hội tụ phía trên Bạt Chiết La, và đi ra từ phía dưới Bạt Chiết La.<br>
",,,"Holding the Varja vertically in the Left hand.
Right Hand in Kim Cang Fist.",,,"Om, Suksma Vajra (3x)",,"I am the Treasure of Suchness; I vow to accomplish the energy field of
Suchness thus transform the energy field of karma",https://drive.google.com/file/d/1VCRvyGeM8mdbMNSrtYeT505zPJzT22Xe/view?usp=drive_link,https://drive.google.com/uc?export=download&id=1VCRvyGeM8mdbMNSrtYeT505zPJzT22Xe,https://drive.google.com/file/d/1U6pAtTRhW2RL-jFWTpkZYqlzXh7PXQ5V/view?usp=drive_link,https://drive.google.com/uc?export=download&id=1U6pAtTRhW2RL-jFWTpkZYqlzXh7PXQ5V,,,
42.5,42,5,0,0,2,42.05.00.00,        42.5 - Kiến tạo Từ Trường,B114,B,A,2,,,,,,,,,E13,E14,,E14,,,,,,,,,,,05,NA,Bạt Chiết La,Đắc Vô Y Vô Thượng,"nghĩa là chứng ngộ (Chân Tâm) tối cao, không còn nương tựa vào đâu nữa.",𑖞 - siddham letter tha (u+1159E) copy and paste - Unicode® symbol,𑖞,,Blue Lotus,,Kiến tạo Từ Trường,,Quán Thanh LH ở trên 𑖞,,"Li Tô Duin <br>
Om, Chư Li Chư Li, <br>
Qua Zư La, <br>
Bu La Pan Tô, <br>
Hum Pan Cha","Li To Yun <br>
Om, Jr Li Jr Li, <br>
Wa Dz La, <br>
Bu La Pan To, <br>
Hum Pan Ja",Mở Thanh Liên Hoa trên ra.,,,,,,,,,,,,https://drive.google.com/file/d/1SMO2bGuIAoGx2uMpoYwxoLZobFTJkexr/view?usp=drive_link,https://drive.google.com/uc?export=download&id=1SMO2bGuIAoGx2uMpoYwxoLZobFTJkexr,https://drive.google.com/file/d/1PD-pvdPdu3DL3zNUuaftOBUdORmgoyJo/view?usp=drive_link,https://drive.google.com/uc?export=download&id=1PD-pvdPdu3DL3zNUuaftOBUdORmgoyJo,,,
42.5,42,5,0,0,2,42.05.00.00,        42.5 - Kiến tạo Từ Trường,B115,B,A,3,,,,,,,,,E14,E15,,E15,,,,,,,,,,,05,NA,Bạt Chiết La,Đắc Vô Y Vô Thượng,"nghĩa là chứng ngộ (Chân Tâm) tối cao, không còn nương tựa vào đâu nữa.",𑖞 - siddham letter tha (u+1159E) copy and paste - Unicode® symbol,𑖞,,Blue Lotus,,Kiến tạo Từ Trường,,Và Thanh LH ở dưới 𑖞,,"Li Tô Duin <br>
Om, Chư Li Chư Li, <br>
Qua Zư La, <br>
Bu La Pan Tô, <br>
Hum Pan Cha","Li To Yun <br>
Om, Jr Li Jr Li, <br>
Wa Dz La, <br>
Bu La Pan To, <br>
Hum Pan Ja","Cánh hoa sen, dưới, mở ra tạo dòng năng lượng torus đi xuống.
The laser beam bends into the Torus. Cho tia laser chạy rồi thì mới trì chú để cho đường quang minh của cái tia laser đi vòng theo cánh hoa thành cái Torus. Và chỉ quán đường Torus, không quán chủng tử tự.",,,"Cánh hoa sen, dưới, mở ra tạo dòng năng lượng torus đi xuống.
The laser beam bends into the Torus. Cho tia laser chạy rồi thì mới trì chú để cho đường quang minh của cái tia laser đi vòng theo cánh hoa thành cái Torus. br>
Và chỉ quán đường Torus, không quán chủng tử tự.",,,,,,,,,https://drive.google.com/file/d/1SMO2bGuIAoGx2uMpoYwxoLZobFTJkexr/view?usp=drive_link,https://drive.google.com/uc?export=download&id=1SMO2bGuIAoGx2uMpoYwxoLZobFTJkexr,https://drive.google.com/file/d/1PD-pvdPdu3DL3zNUuaftOBUdORmgoyJo/view?usp=drive_link,https://drive.google.com/uc?export=download&id=1PD-pvdPdu3DL3zNUuaftOBUdORmgoyJo,,,
42.5,42,5,0,0,2,42.05.00.00,        42.5 - Chuyển hóa Nghiệp Lực,B116,B,A,4,,,,,,E17,,,E16,E17,,E17,,,,,,,,,,,05,NA,Bạt Chiết La,Đắc Vô Y Vô Thượng,"nghĩa là chứng ngộ (Chân Tâm) tối cao, không còn nương tựa vào đâu nữa.",𑖡 - siddham letter na (u+115A1) copy and paste - Unicode® symbol,𑖡,,Vajra,,Chuyển hóa Nghiệp Lực,Quán tưởng tử trường để chuyển hóa từ trường nghiệp lực.,"Cầm Bạt Chiết La thẳng đứng bằng bàn tay Trái.<br>
Quán tưởng từ trường Xanh chạy từ trên xuống.",,"Chê Chi La, Ơ Si Tô Dê <br>
Om, Ni Bi Ni Bi, <br>
Ni Ba Dê, <br>
Mô Hô Shư Li Dê, <br>
Sô Pô Hô (12x)","Je Ji La E Syi To Ye <br>
Om, Ni Bi Ni Bi,<br>
Ni Ba Ye,<br>
Mo He Shr Li Ye,<br>
So Po He (12x)",,"Om, Suksma Vajra (3x)",,Mình phải ngồi nghĩ vài phút cái từ trường Chân Như nó chạy ra sao. Nhờ quán như vậy mà từ trường nghiệp chướng của mình thay đổi được.,,,Visualize the Torus.,,,"Om, Suksma Vajra (3x)","Now visualize the torus, going down from the top of the head and turn around. Let it transform your habitual energy.",,https://drive.google.com/file/d/1VCRvyGeM8mdbMNSrtYeT505zPJzT22Xe/view?usp=drive_link,https://drive.google.com/uc?export=download&id=1VCRvyGeM8mdbMNSrtYeT505zPJzT22Xe,https://drive.google.com/file/d/1U6pAtTRhW2RL-jFWTpkZYqlzXh7PXQ5V/view?usp=drive_link,https://drive.google.com/uc?export=download&id=1U6pAtTRhW2RL-jFWTpkZYqlzXh7PXQ5V,,,
42.5,42,5,0,0,2,42.05.00.00,        42.5 - Kiến tạo Từ Trường,B117,B,A,5,,,,,,,,,,,,,,,,,,,,,,,05,NA,Bạt Chiết La,Đắc Vô Y Vô Thượng,"nghĩa là chứng ngộ (Chân Tâm) tối cao, không còn nương tựa vào đâu nữa.",𑖞 - siddham letter tha (u+1159E) copy and paste - Unicode® symbol,𑖞,,Blue Lotus,,Kiến tạo Từ Trường,,"Flip the vajra holding on the right hand<br>
Quán Hồng LH ở dưới ",,"Li Tô Duin <br>
Om, Chư Li Chư Li, <br>
Qua Zư La, <br>
Bu La Pan Tô, <br>
Hum Pan Cha","Li To Yun <br>
Om, Jr Li Jr Li, <br>
Wa Dz La, <br>
Bu La Pan To, <br>
Hum Pan Ja",Mở Hồng Liên Hoa ở dưới lên.,,,,,,,,,,,,https://drive.google.com/file/d/1SMO2bGuIAoGx2uMpoYwxoLZobFTJkexr/view?usp=drive_link,https://drive.google.com/uc?export=download&id=1SMO2bGuIAoGx2uMpoYwxoLZobFTJkexr,https://drive.google.com/file/d/1PD-pvdPdu3DL3zNUuaftOBUdORmgoyJo/view?usp=drive_link,https://drive.google.com/uc?export=download&id=1PD-pvdPdu3DL3zNUuaftOBUdORmgoyJo,,,
42.5,42,5,0,0,2,42.05.00.00,        42.5 - Kiến tạo Từ Trường,B118,B,A,6,,,,,,,,,,,,,,,,,,,,,,,05,NA,Bạt Chiết La,Đắc Vô Y Vô Thượng,"nghĩa là chứng ngộ (Chân Tâm) tối cao, không còn nương tựa vào đâu nữa.",𑖞 - siddham letter tha (u+1159E) copy and paste - Unicode® symbol,𑖞,,Blue Lotus,,Kiến tạo Từ Trường,,Và Hồng LH ở trên,,"Li Tô Duin <br>
Om, Chư Li Chư Li, <br>
Qua Zư La, <br>
Bu La Pan Tô, <br>
Hum Pan Cha","Li To Yun <br>
Om, Jr Li Jr Li, <br>
Wa Dz La, <br>
Bu La Pan To, <br>
Hum Pan Ja","Cánh hoa sen, dưới, mở ra tạo dòng năng lượng torus đi xuống.
The laser beam bends into the Torus. Cho tia laser chạy rồi thì mới trì chú để cho đường quang minh của cái tia laser đi vòng theo cánh hoa thành cái Torus. Và chỉ quán đường Torus, không quán chủng tử tự.",,,"Cánh hoa sen, dưới, mở ra tạo dòng năng lượng torus đi xuống.
The laser beam bends into the Torus. Cho tia laser chạy rồi thì mới trì chú để cho đường quang minh của cái tia laser đi vòng theo cánh hoa thành cái Torus. br>
Và chỉ quán đường Torus, không quán chủng tử tự.",,,,,,,,,https://drive.google.com/file/d/1SMO2bGuIAoGx2uMpoYwxoLZobFTJkexr/view?usp=drive_link,https://drive.google.com/uc?export=download&id=1SMO2bGuIAoGx2uMpoYwxoLZobFTJkexr,https://drive.google.com/file/d/1PD-pvdPdu3DL3zNUuaftOBUdORmgoyJo/view?usp=drive_link,https://drive.google.com/uc?export=download&id=1PD-pvdPdu3DL3zNUuaftOBUdORmgoyJo,,,
42.5,42,5,0,0,2,42.05.00.00,        42.5 - Chuyển hóa Nghiệp Lực,B119,B,A,7,,,,,,,,,,,,,,,,,,,,,,,05,NA,Bạt Chiết La,Đắc Vô Y Vô Thượng,"nghĩa là chứng ngộ (Chân Tâm) tối cao, không còn nương tựa vào đâu nữa.",𑖡 - siddham letter na (u+115A1) copy and paste - Unicode® symbol,𑖡,,Vajra,,Chuyển hóa Nghiệp Lực,Quán tưởng tử trường để chuyển hóa từ trường nghiệp lực.,"Cầm Bạt Chiết La thẳng đứng bằng bàn tay Trái.<br>
Quán tưởng từ trường Hồng chạy từ dưới lên và ra ngoài BBBN",,"Chê Chi La, Ơ Si Tô Dê <br>
Om, Ni Bi Ni Bi, <br>
Ni Ba Dê, <br>
Mô Hô Shư Li Dê, <br>
Sô Pô Hô (12x)","Je Ji La E Syi To Ye <br>
Om, Ni Bi Ni Bi,<br>
Ni Ba Ye,<br>
Mo He Shr Li Ye,<br>
So Po He (12x)",,"Om, Suksma Vajra (3x)",Nguyện thành tựu từ trường Chân Như để hóa giải từ trường Nghiệp lực của mình và người,,,,Visualize the Torus.,,,"Om, Suksma Vajra (3x)","Now visualize the torus, going down from the top of the head and turn around. Let it transform your habitual energy.",,https://drive.google.com/file/d/1VCRvyGeM8mdbMNSrtYeT505zPJzT22Xe/view?usp=drive_link,https://drive.google.com/uc?export=download&id=1VCRvyGeM8mdbMNSrtYeT505zPJzT22Xe,https://drive.google.com/file/d/1U6pAtTRhW2RL-jFWTpkZYqlzXh7PXQ5V/view?usp=drive_link,https://drive.google.com/uc?export=download&id=1U6pAtTRhW2RL-jFWTpkZYqlzXh7PXQ5V,,,
42.5,42,5,0,0,2,42.05.00.00,        42.5 - Kiến tạo Từ Trường,B120,B,A,8,,,,,,,,,,,,,,,,,,,,,,,05,NA,Bạt Chiết La,Đắc Vô Y Vô Thượng,"nghĩa là chứng ngộ (Chân Tâm) tối cao, không còn nương tựa vào đâu nữa.",𑖞 - siddham letter tha (u+1159E) copy and paste - Unicode® symbol,𑖞,,Blue Lotus,,Kiến tạo Từ Trường,,"Flip the vajra holding on the left hand<br>
Quán Bạch LH ở trên ",,"Li Tô Duin <br>
Om, Chư Li Chư Li, <br>
Qua Zư La, <br>
Bu La Pan Tô, <br>
Hum Pan Cha","Li To Yun <br>
Om, Jr Li Jr Li, <br>
Wa Dz La, <br>
Bu La Pan To, <br>
Hum Pan Ja",Mở Bạch Liên Hoa trên ra,,,,,,,,,,,,https://drive.google.com/file/d/1SMO2bGuIAoGx2uMpoYwxoLZobFTJkexr/view?usp=drive_link,https://drive.google.com/uc?export=download&id=1SMO2bGuIAoGx2uMpoYwxoLZobFTJkexr,https://drive.google.com/file/d/1PD-pvdPdu3DL3zNUuaftOBUdORmgoyJo/view?usp=drive_link,https://drive.google.com/uc?export=download&id=1PD-pvdPdu3DL3zNUuaftOBUdORmgoyJo,,,
